1,A Câmara
1,AAAAAAAAHHHH
1,AAAAAAARCH
1,AAARGH
1,AL Harry
1,AS MOTOS NÃO VOAM
1,Aaargh
2,Abominável Homem das Neves
1,Achaste
1,Acho
1,Acidente
1,Adalbert Waffling
1,Adeus
1,Adeusinho
4,Adrian Pucey
1,After-Eight
1,Agarra
3,Agrippa
1,Ahem
2,Ainda
1,Ala,Retired auror and member of the order of the Phoenix. Killed by Voldemort.
1,Alberic Grunnion
6,Albus,Headmaster of Hogwards killed by Snape.
12,Albus Dumbledore,Headmaster of Hogwards killed by Snape.
1,Albânia
1,Alcance de Todos
3,Algie
1,Alicia
1,Alicia Spinet
3,Alicia Spinnet
2,Alohomora
3,Angelina
2,Angelina Johnson
1,Angelina Johnson dos Gryffindor
1,Animais
1,Anne Perks
2,Ano
1,Antiguidade
1,Apanhado
1,Aparecium
4,Aquele
1,Aquil'é
19,Aragog,Acromantula belonging to Rubeus Hagrid.
1,Aranhas
4,Argus,Squib caretake of Hogwards.
5,Argus Filch,Squib caretake of Hogwards.
1,Armadilha
1,Armando Dippet
1,Armazém
1,Arrancar
1,Arsenius Jigger
1,Artes
1,Artes Negras
8,Arthur,Father of the Weasleys and member of the Order of the Phoenix.
8,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.
1,Artur
1,As Mais Potentes Poções
1,As Runas Antigas
1,Assembleia Medieval de Feiticeiros Europeus
1,Atenciosamente Mafalda Hopkirk Gabinete da Utilização Imprópria da Magia Ministério da Magia
2,Atenção
1,Automisturadores
1,Automóvel
1,Aventuras de Martin Miggs
8,Azkaban
1,BOA CONSTRICTOR
1,BOOM
1,BOOOOOM
1,BRASIL
1,Bah
1,Bajulador
2,Balelas
1,Bandon
12,Bane
1,Banquetes
1,Baruffio
4,Barão
7,Barão Sangrento
29,Basilisk
1,Basta Mcmillan
1,Bath
1,Bathilda Bagshot
7,Bativolta
1,Bell,Death Eater who was killed by Molly Weasley.
3,Bem-vindo
3,Bem-vindos
1,Bem-vindos a Hogwarts-disse
4,Bertie Bott
11,Bill,Oldest son of Arthur and Molly. Husband of Fleur. 
18,Binns
1,Blackpool
1,Blaise Zabini
1,Bleaarg
1,Bletchley
5,Blotts
1,Blotts A
5,Boa Constrictor
1,Boa Constrictor do Brasil
2,Boa-noite
1,Bolas
1,Bones
1,Bonfire Night
1,Boquiaberto
3,Borgin
1,Braagh
3,Brasil
1,Brasssil
1,Brilhos
1,Bristol
1,Bronze
1,Bruxas
1,Bruxas Velhas
1,Bull
1,Burkes
1,C's
1,C'uma
1,C-carros
1,C. de D.
1,CRASH
1,CRUNCH
1,Cabana
1,Cabble
3,Cabeça
1,Caldeirão
12,Caldeirão Escoante
1,Caldeirões
1,Campeonato Mundial da Taça
1,Caneca
1,Canhões
1,Carinhosamente Hermione
1,Caro Mr. Potter
1,Caro Senhor Dumbledore
1,Caro Sr. Potter
1,Carta
1,Catchpole
1,Cautela
1,Celestina Warbeck
1,Centro de Cuidados
1,Centímetro
1,Cerume
1,Chapéu
1,Chapéus
1,Charles
20,Charlie,Second son of Arthur and Molly. Works with dragons in Romania.
2,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.
1,Chefe de Departamento
1,Chefe de Turma
1,Chega-te
2,Cheio
1,Cheira-me
1,Choo
1,Chudley Cannon
1,Chudley Cannons
1,Circe
1,Cleansweep
2,Cleansweep Fives
1,Cleansweeps
1,Clic
1,Cliona
1,Cnngatts
1,Co'a
34,Colin
8,Colin Creevey
1,Cometa
1,Comissão dos Feitiços Experimentais
3,Como
1,Conduzidos pela Fawkes
1,Conduziu os Mason
1,Confeder
1,Confederação Internacional do Estatuto da Magia Secreta
1,Confuso
1,Conselho
4,Conselho Directivo
1,Continuam
1,Contém
1,Convenção Internacional de Feiticeiros
1,Convenção de Warlock
1,Coradíssimo
2,Cornelius,Minister of Magic that was forced to resign.
2,Cornelius Fudge,Minister of Magic that was forced to resign.
51,Crabbe,Slytherin student who was best friends with Goyle and followed Draco.
51,Crabbe,Father of Crabbe and death-eater who escaped Azkaban.
3,Crac
5,Creevey
1,Criaturas Mágicas
1,Criação
1,Crime
2,Cruel
1,Cuidado
46,Câmara dos Segredos
1,Céu
1,Código de Conduta dos Lobisomens
1,D-dia-gon-al
1,D.J. Prod
1,DE NADA
1,DEPOIS
1,DURSLEY
1,Daily Prophet
1,Damo-vos
14,Dean
1,Dean Seamas
9,Dean Thomas
1,Decreto de Restrições Razoáveis para Feitiçaria de Menores
3,Dedalus Diggle
1,Deeeesculpem
7,Defesa
1,Deixa
1,Deixa-me
1,Dennis
1,Departamento
1,Depois
1,Desarrumação
1,Desculpa Colin
